date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:33:47	21284/21284	---M--	200	added ('OK')	text/html	etag:%225324-5736c68636c0f%22	http://www.innovationplans.com/idesign/arco/fonts/linea-basic-10.ttf	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/linea-basic-12.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/linea-basic.css)
18:33:49	98620/98620	---M--	200	added ('OK')	text/html	etag:%221813c-5736c66f03578%22	http://www.innovationplans.com/idesign/arco/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-brands-400.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:33:50	98620/98620	---M--	200	added ('OK')	text/html	etag:%221813c-5736c66f03578%22	http://www.innovationplans.com/idesign/arco/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-brands-400d41d.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:33:52	54420/54420	---M--	200	added ('OK')	text/html	etag:%22d494-5736c671d6025%22	http://www.innovationplans.com/idesign/arco/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-brands-401.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:33:54	63712/63712	---M--	200	added ('OK')	text/html	etag:%22f8e0-5736c671a8d47%22	http://www.innovationplans.com/idesign/arco/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-brands-402.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:33:55	98384/98384	---M--	200	added ('OK')	text/html	etag:%2218050-5736c66ef37a0%22	http://www.innovationplans.com/idesign/arco/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-brands-403.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:33:57	403/403	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Mar%202020%2013:03:56%20GMT	http://www.innovationplans.com/idesign/arco/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-brands-400.svg	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:06	29208/29208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202020%2013:03:59%20GMT	https://www.innovationplans.com/idesign/arco/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-brands-400.svg	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:07	31156/31156	---M--	200	added ('OK')	text/html	etag:%2279b4-5736c67339b6e%22	http://www.innovationplans.com/idesign/arco/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-regular-400.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
18:34:08	31156/31156	---M--	200	added ('OK')	text/html	etag:%2279b4-5736c67339b6e%22	http://www.innovationplans.com/idesign/arco/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/fonts/fa-regular-400d41d.html	(from http://www.innovationplans.com/idesign/arco/css/plugins/fontawesome-all.min.css)
